color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,X
Color,James Cameron,723,178,0,855,Joel David Moore,1000,760505847,1
Color,Gore Verbinski,302,169,563,1000,Orlando Bloom,40000,309404152,2
Color,Sam Mendes,602,148,0,161,Rory Kinnear,11000,200074175,3
Color,Christopher Nolan,813,164,22000,23000,Christian Bale,27000,448130642,4
,Doug Walker,,,131,,Rob Walker,131,,5
Color,Andrew Stanton,462,132,475,530,Samantha Morton,640,73058679,6
Color,Sam Raimi,392,156,0,4000,James Franco,24000,336530303,7
Color,Nathan Greno,324,100,15,284,Donna Murphy,799,200807262,8
Color,Joss Whedon,635,141,0,19000,Robert Downey Jr.,26000,458991599,9
Color,David Yates,375,153,282,10000,Daniel Radcliffe,25000,301956980,10
Color,Zack Snyder,673,183,0,2000,Lauren Cohan,15000,330249062,11
Color,Bryan Singer,434,169,0,903,Marlon Brando,18000,200069408,12
Color,Marc Forster,403,106,395,393,Mathieu Amalric,451,168368427,13
Color,Gore Verbinski,313,151,563,1000,Orlando Bloom,40000,423032628,14
Color,Gore Verbinski,450,150,563,1000,Ruth Wilson,40000,89289910,15
Color,Zack Snyder,733,143,0,748,Christopher Meloni,15000,291021565,16
Color,Andrew Adamson,258,150,80,201,Pierfrancesco Favino,22000,141614023,17
Color,Joss Whedon,703,173,0,19000,Robert Downey Jr.,26000,623279547,18
Color,Rob Marshall,448,136,252,1000,Sam Claflin,40000,241063875,19
Color,Barry Sonnenfeld,451,106,188,718,Michael Stuhlbarg,10000,179020854,20
Color,Peter Jackson,422,164,0,773,Adam Brown,5000,255108370,21
Color,Marc Webb,599,153,464,963,Andrew Garfield,15000,262030663,22
Color,Ridley Scott,343,156,0,738,William Hurt,891,105219735,23
Color,Peter Jackson,509,186,0,773,Adam Brown,5000,258355354,24
Color,Chris Weitz,251,113,129,1000,Eva Green,16000,70083519,25
Color,Peter Jackson,446,201,0,84,Thomas Kretschmann,6000,218051260,26
Color,James Cameron,315,194,0,794,Kate Winslet,29000,658672302,27
Color,Anthony Russo,516,147,94,11000,Scarlett Johansson,21000,407197282,28
Color,Peter Berg,377,131,532,627,Alexander Skarsgård,14000,65173160,29
Color,Colin Trevorrow,644,124,365,1000,Judy Greer,3000,652177271,30
Color,Sam Mendes,750,143,0,393,Helen McCrory,883,304360277,31
Color,Sam Raimi,300,135,0,4000,James Franco,24000,373377893,32
Color,Shane Black,608,195,1000,3000,Jon Favreau,21000,408992272,33
Color,Tim Burton,451,108,13000,11000,Alan Rickman,40000,334185206,34
Color,Brett Ratner,334,104,420,560,Kelsey Grammer,20000,234360014,35
Color,Dan Scanlon,376,104,37,760,Tyler Labine,12000,268488329,36
Color,Michael Bay,366,150,0,464,Kevin Dunn,894,402076689,37
Color,Michael Bay,378,165,0,808,Sophia Myles,974,245428137,38
Color,Sam Raimi,525,130,0,11000,Mila Kunis,44000,234903076,39
Color,Marc Webb,495,142,464,825,Andrew Garfield,15000,202853933,40
Color,Joseph Kosinski,469,125,364,1000,Olivia Wilde,12000,172051787,41
Color,John Lasseter,304,106,487,776,Thomas Kretschmann,1000,191450875,42
Color,Martin Campbell,436,123,258,326,Temuera Morrison,16000,116593191,43
Color,Lee Unkrich,453,103,125,721,John Ratzenberger,15000,414984497,44
Color,McG,422,118,368,988,Bryce Dallas Howard,23000,125320003,45
Color,James Wan,424,140,0,14000,Paul Walker,26000,350034110,46
Color,Marc Forster,654,123,395,1000,Brad Pitt,17000,202351611,47
Color,Bryan Singer,539,149,0,20000,Peter Dinklage,34000,233914986,48
Color,J.J. Abrams,590,132,14000,928,Bruce Greenwood,19000,228756232,49
Color,Bryan Singer,338,114,0,140,Ewen Bremner,979,65171860,50
Color,Baz Luhrmann,490,143,1000,77,Elizabeth Debicki,29000,144812796,51
Color,Mike Newell,306,116,179,236,Richard Coyle,15000,90755643,52
Color,Guillermo del Toro,575,131,0,919,Clifton Collins Jr.,16000,101785482,53
Color,Michael Bay,428,154,0,581,Lester Speight,894,352358779,54
Color,Steven Spielberg,470,122,14000,1000,Ray Winstone,11000,317011114,55
Color,Peter Sohn,298,93,113,113,Jack McGraw,275,123070338,56
Color,Mark Andrews,488,93,56,838,John Ratzenberger,2000,237282182,57
Color,Justin Lin,322,122,681,105,Melissa Roxburgh,998,130468626,58
Color,Andrew Stanton,421,98,475,522,Fred Willard,1000,223806889,59
Color,Brett Ratner,162,91,420,173,Dana Ivey,268,140080850,60
Color,Roland Emmerich,367,158,776,310,Liam James,1000,166112167,61
Color,Robert Zemeckis,240,96,0,10000,Colin Firth,18000,137850096,62
Color,Lana Wachowski,384,127,0,13000,Mila Kunis,17000,47375327,63
Color,David Yates,248,110,282,103,Alexander Skarsgård,11000,124051759,64
Color,Andrew Adamson,284,150,80,82,Kiran Shah,1000,291709845,65
Color,Bryan Singer,396,144,0,1000,Michael Fassbender,34000,154985087,66
Color,Christopher Nolan,645,152,22000,11000,Heath Ledger,23000,533316061,67
Color,Pete Docter,408,96,0,262,Delroy Lindo,1000,292979556,68
Color,Rob Letterman,219,94,11,459,Rainn Wilson,1000,198332128,69
Color,Jon Favreau,486,126,4000,4000,Jeff Bridges,21000,318298180,70
Color,Martin Scorsese,682,126,17000,1000,Christopher Lee,17000,73820094,71
Color,Barry Sonnenfeld,85,106,188,582,Salma Hayek,10000,113745408,72
Color,Rob Cohen,264,112,357,595,Brendan Fraser,5000,102176165,73
Color,David Ayer,418,123,452,329,Robin Atkin Downes,10000,161087183,74
Color,Tom Shadyac,186,96,293,7000,Morgan Freeman,87000,100289690,75
Color,Doug Liman,585,113,218,509,Lara Pulver,10000,100189501,76
Color,Kevin Reynolds,91,176,58,60,Rick Aviles,711,88246220,77
Color,Stephen Sommers,250,118,208,570,Dennis Quaid,23000,150167630,78
Color,Pete Docter,536,95,0,384,Mindy Kaling,1000,356454367,79
Color,Jon Favreau,370,106,4000,591,Bill Murray,19000,362645141,80
Color,Jon Favreau,453,124,4000,4000,Scarlett Johansson,21000,312057433,81
Color,Rupert Sanders,416,132,274,11000,Kristen Stewart,26000,155111815,82
Color,Robert Stromberg,401,97,171,846,Sharlto Copley,11000,241407328,83
Color,Matt Reeves,521,130,198,884,Judy Greer,10000,208543795,84
Color,Roland Joffé,10,109,596,283,Alice Englert,622,,85
Color,Carl Rinsch,218,128,47,982,Cary-Hiroyuki Tagawa,18000,38297305,86
Color,Anthony Russo,576,136,94,2000,Chris Evans,19000,259746958,87
Color,Mike Mitchell,226,93,31,213,Kathy Griffin,4000,238371987,88
Color,Brad Bird,443,130,663,604,Chris Bauer,2000,93417865,89
Color,Don Hall,384,102,38,562,Daniel Henney,756,222487711,90
Color,Rich Moore,377,101,66,833,Sarah Silverman,975,189412677,91
Color,Robert Zemeckis,188,100,0,267,Eddie Deezen,15000,665426,92
Color,Roland Emmerich,286,120,776,535,Sela Ward,890,102315545,93
Color,Dean DeBlois,288,98,255,759,America Ferrera,18000,217387997,94
Color,Jonathan Mostow,280,109,84,191,M.C. Gainey,648,150350192,95
Color,James Gunn,653,121,571,3000,Vin Diesel,14000,333130696,96
Color,Christopher Nolan,712,169,22000,6000,Anne Hathaway,11000,187991439,97
Color,Christopher Nolan,642,148,22000,23000,Tom Hardy,29000,292568851,98
