country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,X
USA,PG-13,237000000,2009,936,7.9,1.78,33000,1
USA,PG-13,300000000,2007,5000,7.1,2.35,0,2
UK,PG-13,245000000,2015,393,6.8,2.35,85000,3
USA,PG-13,250000000,2012,23000,8.5,2.35,164000,4
,,,,12,7.1,,0,5
USA,PG-13,263700000,2012,632,6.6,2.35,24000,6
USA,PG-13,258000000,2007,11000,6.2,2.35,0,7
USA,PG,260000000,2010,553,7.8,1.85,29000,8
USA,PG-13,250000000,2015,21000,7.5,2.35,118000,9
UK,PG,250000000,2009,11000,7.5,2.35,10000,10
USA,PG-13,250000000,2016,4000,6.9,2.35,197000,11
USA,PG-13,209000000,2006,10000,6.1,2.35,0,12
UK,PG-13,200000000,2008,412,6.7,2.35,0,13
USA,PG-13,225000000,2006,5000,7.3,2.35,5000,14
USA,PG-13,215000000,2013,2000,6.5,2.35,48000,15
USA,PG-13,225000000,2013,3000,7.2,2.35,118000,16
USA,PG,225000000,2008,216,6.6,2.35,0,17
USA,PG-13,220000000,2012,21000,8.1,1.85,123000,18
USA,PG-13,250000000,2011,11000,6.7,2.35,58000,19
USA,PG-13,225000000,2012,816,6.8,1.85,40000,20
New Zealand,PG-13,250000000,2014,972,7.5,2.35,65000,21
USA,PG-13,230000000,2012,10000,7,2.35,56000,22
USA,PG-13,200000000,2010,882,6.7,2.35,17000,23
USA,PG-13,225000000,2013,972,7.9,2.35,83000,24
USA,PG-13,180000000,2007,6000,6.1,2.35,0,25
New Zealand,PG-13,207000000,2005,919,7.2,2.35,0,26
USA,PG-13,200000000,1997,14000,7.7,2.35,26000,27
USA,PG-13,250000000,2016,19000,8.2,2.35,72000,28
USA,PG-13,209000000,2012,10000,5.9,2.35,44000,29
USA,PG-13,150000000,2015,2000,7,2,150000,30
UK,PG-13,200000000,2012,563,7.8,2.35,80000,31
USA,PG-13,200000000,2004,11000,7.3,2.35,0,32
USA,PG-13,200000000,2013,4000,7.2,2.35,95000,33
USA,PG,200000000,2010,25000,6.5,1.85,24000,34
Canada,PG-13,210000000,2006,808,6.8,2.35,0,35
USA,G,200000000,2013,779,7.3,1.85,44000,36
USA,PG-13,200000000,2009,581,6,2.35,0,37
USA,PG-13,210000000,2014,956,5.7,2.35,56000,38
USA,PG,215000000,2013,15000,6.4,2.35,60000,39
USA,PG-13,200000000,2014,10000,6.7,2.35,41000,40
USA,PG,170000000,2010,10000,6.8,2.35,30000,41
USA,G,200000000,2011,919,6.3,2.35,10000,42
USA,PG-13,200000000,2011,368,5.6,2.35,24000,43
USA,G,200000000,2010,1000,8.3,1.85,30000,44
USA,PG-13,200000000,2009,3000,6.6,2.35,0,45
USA,PG-13,190000000,2015,23000,7.2,2.35,94000,46
USA,PG-13,190000000,2013,11000,7,2.35,129000,47
USA,PG-13,200000000,2014,22000,8,2.35,82000,48
USA,PG-13,190000000,2013,981,7.8,2.35,92000,49
USA,PG-13,195000000,2013,557,6.3,2.35,22000,50
Australia,PG-13,105000000,2013,509,7.3,2.35,115000,51
USA,PG-13,200000000,2010,567,6.6,2.35,23000,52
USA,PG-13,190000000,2013,968,7,1.85,83000,53
USA,PG-13,195000000,2011,829,6.3,2.35,46000,54
USA,PG-13,185000000,2008,1000,6.2,2.35,5000,55
USA,PG,,2015,150,6.8,2.35,20000,56
USA,PG,185000000,2012,1000,7.2,2.35,39000,57
USA,PG-13,185000000,2016,119,7.5,2.35,30000,58
USA,G,180000000,2008,729,8.4,2.35,16000,59
USA,PG-13,140000000,2007,268,6.2,2.35,0,60
USA,PG-13,200000000,2009,468,5.8,2.35,13000,61
USA,PG,200000000,2009,14000,6.8,2.35,0,62
USA,PG-13,176000000,2015,15000,5.4,2.35,44000,63
USA,PG-13,180000000,2016,10000,6.6,2.35,29000,64
USA,PG,180000000,2005,190,6.9,2.35,0,65
USA,PG-13,178000000,2016,13000,7.3,2.35,54000,66
USA,PG-13,185000000,2008,13000,9,2.35,37000,67
USA,PG,175000000,2009,848,8.3,1.85,27000,68
USA,PG,175000000,2009,973,6.5,2.35,0,69
USA,PG-13,140000000,2008,12000,7.9,2.35,10000,70
